learning_rate,epochs,batch_size,training_time_s,eval_time_s,grad_mag_final,successes_out_of_100
0.5,3,5,2.355,0.002,0.832384,78
0.5,3,10,2.087,0.002,4.772596,67
0.5,3,30,1.949,0.002,6.54742,45
0.5,3,100,2.293,0.003,23.653182,15
0.5,10,5,9.209,0.002,0.951402,77
0.5,10,10,7.437,0.003,3.022967,81
0.5,10,30,6.422,0.002,5.793877,57
0.5,10,100,5.949,0.002,29.734627,29
0.5,50,5,39.116,0.002,2.8e-05,90
0.5,50,10,33.954,0.002,1.340602,88
0.5,50,30,30.555,0.002,2.377677,88
0.5,50,100,29.485,0.002,64.358298,74
0.5,100,5,77.715,0.002,0.000465,83
0.5,100,10,67.609,0.002,0.124194,83
0.5,100,30,61.696,0.002,1.193434,86
0.5,100,100,57.327,0.002,32.300066,78
1.0,3,5,2.265,0.002,1.54848,74
1.0,3,10,1.968,0.002,2.720901,73
1.0,3,30,1.778,0.002,9.45208,44
1.0,3,100,1.704,0.002,21.457739,27
1.0,10,5,7.596,0.002,0.855526,89
1.0,10,10,6.62,0.002,3.274787,92
1.0,10,30,5.967,0.003,7.452175,82
1.0,10,100,5.719,0.002,51.166068,50
1.0,50,5,37.929,0.002,0.003212,80
1.0,50,10,33.249,0.002,0.012864,90
1.0,50,30,32.671,0.003,1.537658,90
1.0,50,100,29.597,0.002,17.91442,85
1.0,100,5,78.907,0.002,0.001319,85
1.0,100,10,68.599,0.002,0.001237,89
1.0,100,30,62.046,0.002,0.018517,91
1.0,100,100,59.257,0.002,23.700851,87
3.0,3,5,2.284,0.002,4.84609,86
3.0,3,10,2.011,0.002,0.379992,86
3.0,3,30,1.792,0.002,13.828544,72
3.0,3,100,1.722,0.002,37.56335,54
3.0,10,5,7.455,0.002,4.718201,91
3.0,10,10,6.635,0.002,2.378496,95
3.0,10,30,5.871,0.002,8.025293,90
3.0,10,100,5.713,0.002,73.619466,82
3.0,50,5,38.458,0.002,2.7e-05,88
3.0,50,10,32.774,0.002,0.000993,94
3.0,50,30,29.579,0.002,0.099908,89
3.0,50,100,28.641,0.002,12.59502,89
3.0,100,5,76.068,0.002,3.4e-05,91
3.0,100,10,66.099,0.002,7.8e-05,91
3.0,100,30,59.87,0.002,0.010653,93
3.0,100,100,57.622,0.002,0.900271,95
10.0,3,5,2.265,0.002,0.0,10
10.0,3,10,1.974,0.002,4.200615,75
10.0,3,30,1.776,0.002,3.627593,63
10.0,3,100,1.702,0.002,18.487947,37
10.0,10,5,7.529,0.002,0.093893,74
10.0,10,10,6.675,0.002,0.159665,80
10.0,10,30,5.862,0.002,14.640223,64
10.0,10,100,6.187,0.002,45.116424,83
10.0,50,5,37.877,0.002,7.99005,60
10.0,50,10,32.8,0.002,0.978702,91
10.0,50,30,29.466,0.002,0.000464,92
10.0,50,100,28.608,0.002,1.725737,90
10.0,100,5,78.017,0.002,0.046239,87
10.0,100,10,68.822,0.002,1e-06,87
10.0,100,30,70.506,0.002,0.000543,92
10.0,100,100,70.337,0.002,3.111412,89
