learning_rate,epochs,batch_size,training_time_s,eval_time_s,grad_mag_final,successes_out_of_100
0.5,3,5,2.319,0.002,1.530626,76
0.5,3,10,2.067,0.002,4.806208,64
0.5,3,30,1.89,0.002,6.368207,34
0.5,3,100,1.809,0.002,28.744906,19
0.5,10,5,7.909,0.002,0.190535,85
0.5,10,10,6.882,0.002,2.42008,84
0.5,10,30,6.18,0.002,12.898704,59
0.5,10,100,5.906,0.003,30.709304,40
0.5,50,5,39.731,0.002,0.009296,89
0.5,50,10,34.707,0.002,0.013227,86
0.5,50,30,31.83,0.002,9.446011,83
0.5,50,100,29.923,0.002,40.294881,66
0.5,100,5,80.43,0.002,0.000445,92
0.5,100,10,69.806,0.002,0.020927,89
0.5,100,30,60.212,0.002,0.912606,91
0.5,100,100,57.139,0.002,29.707336,89
1.0,3,5,2.271,0.002,6.210386,78
1.0,3,10,1.965,0.002,3.135676,65
1.0,3,30,1.793,0.002,9.33293,55
1.0,3,100,1.701,0.002,18.568761,31
1.0,10,5,7.531,0.002,0.029315,84
1.0,10,10,6.574,0.002,3.80869,82
1.0,10,30,5.96,0.002,4.987065,78
1.0,10,100,5.684,0.002,73.532593,61
1.0,50,5,38.694,0.002,0.001512,95
1.0,50,10,33.279,0.002,0.035281,84
1.0,50,30,48.998,0.003,5.21216,90
1.0,50,100,47.681,0.003,41.678513,76
1.0,100,5,88.489,0.002,0.000764,91
1.0,100,10,66.503,0.002,0.003565,90
1.0,100,30,59.637,0.002,0.008247,85
1.0,100,100,57.663,0.002,8.353367,88
3.0,3,5,2.303,0.002,3.190458,82
3.0,3,10,1.983,0.002,4.734726,86
3.0,3,30,1.776,0.002,9.682537,70
3.0,3,100,1.709,0.002,55.969903,57
3.0,10,5,7.614,0.002,0.50252,92
3.0,10,10,6.661,0.002,0.071091,92
3.0,10,30,6.006,0.002,5.314209,83
3.0,10,100,5.794,0.002,23.121444,81
3.0,50,5,38.141,0.002,0.000169,93
3.0,50,10,33.113,0.002,0.00053,88
3.0,50,30,29.96,0.002,0.134756,88
3.0,50,100,29.856,0.002,17.69347,89
3.0,100,5,83.045,0.003,0.0,93
3.0,100,10,114.815,0.003,1e-06,95
3.0,100,30,97.614,0.002,0.001165,84
3.0,100,100,66.429,0.002,4.078648,86
10.0,3,5,2.49,0.002,0.0,14
10.0,3,10,2.026,0.004,0.0,21
10.0,3,30,1.889,0.002,10.115536,85
10.0,3,100,1.765,0.002,24.052802,48
10.0,10,5,8.261,0.002,1.344346,79
10.0,10,10,7.076,0.002,6.111081,89
10.0,10,30,6.283,0.003,1.890575,76
10.0,10,100,6.055,0.002,33.811226,83
10.0,50,5,39.811,0.002,1.70733,63
10.0,50,10,34.913,0.002,8.7e-05,96
10.0,50,30,31.082,0.002,0.001907,91
10.0,50,100,29.435,0.002,35.11563,85
10.0,100,5,78.569,0.002,4.906146,79
10.0,100,10,69.235,0.003,0.0,91
10.0,100,30,61.993,0.002,0.003898,82
10.0,100,100,58.91,0.002,0.070162,89
