test_number,learning_rate,epochs,batch_size,train_time_sec,correct_predictions,total_tests,accuracy_percent
1,0.1,1,1,6.88,53,100,53.0
2,0.1,1,5,3.73,18,100,18.0
3,0.1,1,10,2.93,13,100,13.0
4,0.1,1,30,2.8,21,100,21.0
5,0.1,1,50,3.05,11,100,11.0
6,0.1,1,70,3.17,9,100,9.0
7,0.1,3,1,27.18,50,100,50.0
8,0.1,3,5,15.07,25,100,25.0
9,0.1,3,10,13.37,24,100,24.0
10,0.1,3,30,11.26,18,100,18.0
11,0.1,3,50,10.18,14,100,14.0
12,0.1,3,70,9.71,12,100,12.0
13,0.1,10,1,89.72,75,100,75.0
14,0.1,10,5,49.35,63,100,63.0
15,0.1,10,10,42.65,50,100,50.0
16,0.1,10,30,39.26,38,100,38.0
17,0.1,10,50,35.68,15,100,15.0
18,0.1,10,70,35.54,16,100,16.0
19,0.1,20,1,212.43,88,100,88.0
20,0.1,20,5,107.46,44,100,44.0
21,0.1,20,10,91.34,63,100,63.0
